Sample in Buffer,Sample in Window,TRIGGER,tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_empty,tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_data[28:0],tdc_decoder_top_inst/inst_event_builder_triggerless/trigger_fifo_read,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_empty,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_data[39:0],tdc_decoder_top_inst/inst_event_builder_triggerless/matching_busy,tdc_decoder_top_inst/inst_event_builder_triggerless/tdc_fifo_read,tdc_decoder_top_inst/inst_event_builder_triggerless/readout_fifo_full,tdc_decoder_top_inst/inst_event_builder_triggerless/event_data[39:0],tdc_decoder_top_inst/inst_event_builder_triggerless/event_data_ready,tdc_decoder_top_inst/inst_event_builder_triggerless/building_busy,tdc_decoder_top_inst/inst_event_builder_triggerless/hit_count[9:0],tdc_decoder_top_inst/inst_event_builder_triggerless/state[5:0],tdc_decoder_top_inst/inst_event_builder_triggerless/nextstate[5:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
124,124,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
125,125,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
126,126,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
127,127,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
128,128,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
129,129,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
130,130,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
131,131,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
132,132,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
133,133,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
134,134,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
135,135,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
136,136,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
137,137,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
138,138,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
139,139,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
140,140,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
141,141,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
142,142,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
143,143,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
144,144,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
145,145,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
146,146,0,1,1e41179a,0,1,0000000000,0,0,0,0000000000,0,0,000,01,01
