Sample in Buffer,Sample in Window,TRIGGER,num_active_ports_1[4:0],sa_done_1,lock_OBUF_1,active_chains_1[17:0],JTAG_busy,tdi_tdo_equal_1,chain_success_1[5:0],elink_ttc_org,tdo_IBUF[17:0],tdi_OBUF[17:0],tck_OBUF[17:0],tms_OBUF[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
256,256,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
257,257,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
258,258,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
259,259,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
260,260,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
261,261,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
262,262,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
263,263,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
264,264,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
265,265,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
266,266,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
267,267,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
268,268,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
269,269,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
270,270,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
271,271,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
272,272,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
273,273,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
274,274,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
275,275,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
276,276,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
277,277,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
278,278,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
279,279,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
280,280,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
281,281,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
282,282,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
283,283,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
284,284,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
285,285,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
286,286,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
287,287,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
288,288,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
289,289,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
290,290,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
291,291,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
292,292,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
293,293,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
294,294,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
295,295,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
296,296,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
297,297,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
298,298,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
299,299,0,02,1,1,00202,0,1,3f,0,032ab,00200,00000,3ffff
300,300,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
301,301,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
302,302,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
303,303,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
304,304,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
305,305,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
306,306,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
307,307,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
308,308,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
309,309,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
310,310,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
311,311,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
312,312,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
313,313,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
314,314,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
315,315,0,02,1,1,00202,0,1,3f,0,032ab,00200,3ffff,3ffff
